vrithiyaakkiyathinu,വൃത്തിയാക്കിയത്തിനു
shupaarshakkaayi,ശുപാർശക്കായി
vaidyuthappathippinum,വൈദ്യുതപ്പതിപ്പിനും
sunitadevadas,സുനിതാദേവദാസ്
kaaryamaano,കാര്യമാണോ
uyarendathaayirunnu,ഉയരേണ്ടതായിരുന്നു
sichilla,സിച്ചില്ല
sosaboy,സോസബോയ്
randadiyulla,രണ്ടടിയുള്ള
yogyaraakunnath,യോഗ്യരാകുന്നത്
kadisaykku,കദിസയ്ക്ക്
neenthalkulatthile,നീന്തൽകുളത്തിലെ
parakkumbozho,പറക്കുമ്പോഴോ
paricharichittilla,പരിചരിച്ചിട്ടില്ല
uchabhakshanatheyum,ഉച്ചഭക്ഷണത്തെയും
kuttaanvesham,കുറ്റാന്വേഷം
swaroopichuvennaanu,സ്വരൂപിച്ചുവെന്നാണ്
kalaaprayogamaaya,കലാപ്രയോഗമായ
hypospedia,ഹൈപോസ്പീഡിയ
soumyayudethaayi,സൌമ്യയുടേതായി
pularthunnathennu,പുലർത്തുന്നതെന്നു
nayikkumaayirunnu,നയിക്കുമായിരുന്നു
khureshiyeyaanu,ഖുറേഷിയെയാണ്
uthsavachanthayile,ഉത്സവച്ചന്തയിലെ
aakendiyirunnathu,ആകേണ്ടിയിരുന്നത്
abhinandikkendathine,അഭിനന്ദിക്കേണ്ടതിനെ
sundariyallaatha,സുന്ദരിയല്ലാത്ത
thokkedukkillenna,തോക്കെടുക്കില്ലെന്ന
colleginu,കോളജിനു
parigananaykkupolum,പരിഗണനയ്ക്കുപോലും
thudangiyavayumaayulla,തുടങ്ങിയവയുമായുള്ള
balikkallilekku,ബലിക്കല്ലിലേക്ക്
kaarochaaranam,കാരോച്ചാരണം
koolillaathathukondu,കൂളില്ലാത്തതുകൊണ്ട്
klabbina,ക്ലബ്ബിന
kandeynarukalaanu,കണ്ടെയ്നറുകളാണ്
eliminare,എലിമിനരെ
mukhathezhuthil,മുഖത്തെഴുത്തിൽ
kulirnnu,കുളിർന്നു
raanayude,റാണയുടെ
anugrahamchorinju,അനുഗ്രഹംചൊരിഞ്ഞു
zoolie,ജൂലി
pattelaanennath,പട്ടേലാണെന്നത്
randaalkkulla,രണ്ടാൾക്കുള്ള
aaltharayennum,ആൽത്തറയെന്നും
varuthathum,വരുത്തതും
yasutoshi,യസുതോഷി
nanuthupeyyunna,നനുത്തുപെയ്യുന്ന
dhyanavigraham,ധ്യാനവിഗ്രഹം
mccavum,മക്കാവും
chilamgokal,ചിലംഗോകൾ
adukkivekkuka,അടുക്കിവെക്കുക
vishaadamshangalum,വിശാദംശങ്ങളും
meemukale,മീമുകളെ
akramangalennaanu,അക്രമങ്ങളെന്നാണ്
aalukalkkinnishtam,ആളുകൾക്കിന്നിഷ്ടം
mikkunnuvennaanu,മിക്കുന്നുവെന്നാണ്
appukalkkaanu,അപ്പുകൾക്കാണ്
vaykkumoyenna,വയ്ക്കുമോയെന്ന
kiyennathine,കിയെന്നതിനെ
thalayillaayirunnu,തലയില്ലായിരുന്നു
glassukalude,ഗ്ലാസ്സുകളുടെ
chenthundu,ചെന്തുണ്ട്
embaapeyumadangunna,എംബാപെയുമടങ്ങുന്ന
vasthralankaaram,വസ്ത്രാലങ്കാരം
pannamaano,പന്നമാണോ
romakkaranengilum,റോമക്കരനെങ്കിലും
generaterukalumaayi,ജനറേറ്ററുകളുമായി
chihnangalundennu,ചിഹ്നങ്ങളുണ്ടെന്ന്
hridayavaalvukalum,ഹൃദയവാൽവുകളും
makkapolulla,മക്കപോലുള്ള
utharpradeshukaaraanu,ഉത്തർപ്രദേശുകാരാണ്
aaraanjathum,ആരാഞ്ഞതും
sophiyakkethireyulla,സോഫിയക്കെതിരെയുള്ള
sanality,സനാലിറ്റി
injanaaniyum,ഇഞ്ചനാനിയും
akkaadamayudeyum,അക്കാദമയുടെയും
mahaapurohitharodu,മഹാപുരോഹിതരോടു
peruvelil,പെരുവേലിൽ
ellinteyum,എല്ലിന്റെയും
munnilennaan,മുന്നിലെന്നാണ്
neervaarchaykku,നീർവാർച്ചയ്ക്ക്
vedikkunna,വേടിക്കുന്ന
baazhsilo,ബാഴ്സിലോ
yudhabhadanaaya,യുദ്ധഭടനായ
aarogyavumilla,ആരോഗ്യവുമില്ല
purappaadaanennaanu,പുറപ്പാടാണെന്നാണ്
sangamasthaanathu,സംഗമസ്ഥാനത്
jithamaakkanamenna,ജിതമാക്കണമെന്ന
kachavadamaakaam,കച്ചവടമാകാം
stoppmemmo,സ്റ്റോപ്പ്മെമ്മോ
kaliyakkaathavarilla,കളിയാക്കാത്തവരില്ല
ozhuvaakkaano,ഒഴുവാക്കാനോ
bheeshaniyethunnathu,ഭീഷണിയെത്തുന്നത്
jigupsavaaham,ജിഗുപ്സവാഹം
ettedukkukayilla,ഏറ്റെടുക്കുകയില്ല
avalilundaayi,അവളിലുണ്ടായി
madhukkaraiyile,മധുക്കരൈയിലെ
bioff,ബയോഫ്
moothamakaladakkam,മൂത്തമകളടക്കം
bharakkuravaayathinaal,ഭാരക്കുറവായതിനാൽ
irayaakkiyathine,ഇരയാക്കിയതിനെ
limkalileyum,ലിംകളിലെയും
soukaryamorukkayum,സൌകര്യമൊരുക്കയും
anubhavakkurippukalil,അനുഭവക്കുറിപ്പുകളിൽ
upabhokthaavinumel,ഉപഭോക്താവിനുമേല്
kwalab,ക്വലാബ്
campokke,ക്യാമ്പൊക്കെ
upaadhirahithamaayi,ഉപാധിരഹിതമായി
praasatthile,പ്രാസത്തിലെ
thannethanam,തന്നെത്തണം
pilibhitthilekku,പിലിഭിത്തിലേക്ക്
shippichayidathum,ശിപ്പിച്ചയിടത്തും
kandangirikkum,കണ്ടങ്ങിരിക്കും
kundaliniykku,കുണ്ഡലിനിയ്ക്ക്
baadhayozhippikkalin,ബാധയൊഴിപ്പിക്കലിന്
kaattareena,കാറ്ററീന
adichamarthalinum,അടിച്ചമർത്തലിനും
kriyaravunnu,ക്രിയരാവുന്നു
kaalapporinethiraaya,കാളപ്പോരിനെതിരായ
austrelian,ഓസ്ട്രേലിയൻ
aalochikkatheyulla,ആലോചിക്കാതെയുള്ള
kathayu,കഥയു
kudumbiniyeyanu,കുടുംബിനിയെയാണ്
upadeshik,ഉപദേശിക്
ailandilulla,ഐലണ്ടിലുള്ള
idathupakshamaanennu,ഇടതുപക്ഷമാണെന്ന്
cheythathinodoppamaanu,ചെയ്തതിനോടൊപ്പമാണ്
swant,സ്വാന്ത്
pennaayathukondulla,പെണ്ണായതുകൊണ്ടുള്ള
hamsakkane,ഹംസക്കാനെ
palarkkumenna,പലർക്കുമെന്ന
thirasheelayilethiya,തിരശീലയിലെത്തിയ
maadhyamangalilakku,മാദ്ധ്യമങ്ങളിലക്ക്
kalaapathethudarnnu,കലാപത്തെത്തുടർന്നു
monocrop,മോണോക്രോപ്പ്
vivaadamennariyilla,വിവാദമെന്നറിയില്ല
pinthudarunnathaayaanu,പിന്തുടരുന്നതായാണ്
bharatpoorilaanu,ഭരത്പൂരിലാണ്
manaduthaanu,മനടുത്താണ്
vilichethannaayi,വിളിച്ചെതന്നായി
punarnirmithikalkkum,പുനർനിർമിതികൾക്കും
thuramukhamaayi,തുറമുഖമായി
munnottedutthi,മുന്നോട്ടെടുത്തി
kshanichekkaam,ക്ഷണിച്ചേക്കാം
bharanamarambhikkukayum,ഭരണമാരംഭിക്കുകയും
labhikkaarillennaan,ലഭിക്കാറില്ലെന്നാണ്
cheyyumennavan,ചെയ്യുമെന്നവൻ
tidal,ടൈഡൽ
anuroopamaano,അനുരൂപമാണോ
baankinethire,ബാങ്കിനെതിരേ
plaantilaavum,പ്ലാന്റിലാവും
aakshepahasyamaakki,ആക്ഷേപഹാസ്യമാക്കി
kaanthatthilekku,കാന്തത്തിലേക്ക്
adhikatheeruva,അധികത്തീരുവ
cheythumaathrame,ചെയ്തുമാത്രമെ
paazhsalaayo,പാഴ്സലായോ
gaamikalodulla,ഗാമികളോടുള്ള
virappikkukayenna,വിറപ്പിക്കുകയെന്ന
nokkipparanju,നോക്കിപ്പറഞ്ഞ്
tharichuyarnnu,തരിച്ചുയർന്നു
shanamukhanandan,ഷണമുഖാനന്ദനും
chandralekhaykkumel,ചന്ദ്രലേഖയ്ക്കുമേൽ
thokkuyarunnu,തോക്കുയരുന്നു
yuddinub,യുദ്ദീനുബ്
saandraajonu,സാന്ദ്രാജോണ്
aalaayittonnumalla,ആളായിട്ടൊന്നുമല്ല
padarpporukkuvaan,പടർപ്പൊരുക്കുവാൻ
chintheridumbol,ചിന്തേരിടുമ്പോൾ
perilundennariyaam,പേരിലുണ്ടെന്നറിയാം
thoovalukalodukoodiyulla,തൂവലുകളോടുകൂടിയുള്ള
madavarambukalilonnil,മടവരമ്പുകളിലൊന്നിൽ
surakshithasthaanathu,സുരക്ഷിതസ്ഥാനത്തു
yaathrakkideyaanu,യാത്രക്കിടെയാണു
sathyagrahasamaravum,സത്യാഗ്രഹസമരവും
roopamnalkunnathinulla,രൂപംനൽകുന്നതിനുള്ള
saanthaykkoppam,സാന്തയ്ക്കൊപ്പം
sannadharaakaathe,സന്നദ്ധരാകാതെ
uzhalumbozhum,ഉഴലുമ്പോഴും
rppeduthanamennu,ർപ്പെടുത്തണമെന്ന്
shaaradaamatathilethiya,ശാരദാമഠത്തിലെത്തിയ
seeriyalukalodulla,സീരിയലുകളോടുള്ള
releasinginethiyathu,റിലീസിംഗിനെത്തിയത്
koythozhinja,കൊയ്തൊഴിഞ്ഞ
kozhukkayaanu,കൊഴുക്കയാണ്
manasilakkunnathilum,മനസിലാക്കുന്നതിലും
manthrisabhaayogathe,മന്ത്രിസഭായോഗത്തെ
bandhanathilaakkukayum,ബന്ധനത്തിലാക്കുകയും
depe,ഡെപ്പെ
pinnaatt,പിന്നാട്ട്
koottukaaranaakunnu,കൂട്ടുകാരനാകുന്നു
tutering,ട്യൂട്ടറിംഗും
balatthiloode,ബലത്തിലൂടെ
raasapadaarthangalumaayi,രാസപദാർത്ഥങ്ങളുമായി
muradippum,മുരടിപ്പും
shaavasthayakku,ഷാവസ്ഥയക്ക്
bordumaayi,ബോർഡുമായി
moonnidangalileyum,മൂന്നിടങ്ങളിലേയും
arippayaan,അരിപ്പയാണ്
yehudanmaaraanu,യെഹൂദന്മാരാണ്
ambarappa,അമ്പരപ്പ
prameyamaayathennu,പ്രമേയമായതെന്ന്
padakkuthirayaanennu,പടക്കുതിരയാണെന്ന്
sundarapadam,സുന്ദരപദം
gadyathile,ഗദ്യത്തിലെ
aakaashamaanenkil,ആകാശമാണെങ്കിൽ
pakarnnaadaan,പകർന്നാടാൻ
samanamaayirikkukayum,സമാനമായിരിക്കുകയും
punarjananamaan,പുനർജനനമാണ്
maarimarayunbol,മാറിമറയുന്പോൾ
settoo,സെറ്റോ
midhyaadhaaranakalum,മിഥ്യാധാരണകളും
maarippoyathaavaam,മാറിപ്പോയതാവാം
manthrisabhanumathi,മന്ത്രിസഭാനുമതി
moothrathiloodeyum,മൂത്രത്തിലൂടെയും
valayathilaakkaan,വലയത്തിലാക്കാന്
lakshmananulla,ലക്ഷ്മണനുള്ള
nellikkalam,നെല്ലിക്കളം
nallabharanamaanu,നല്ലഭരണമാണ്
naduthalakalkk,നടുതലകൾക്ക്
entittiyaayi,എന്റിറ്റിയായി
prig,പ്രിഗ്
sannyasimaarudeyum,സന്ന്യസിമാരുടെയും
mendaliyev,മെൻഡലിയേവ്
mathajeevithathilekku,മതജീവിതത്തിലേക്കു
vannucherumenkilum,വന്നുചേരുമെങ്കിലും
othukkikkalanju,ഒതുക്കിക്കളഞ്ഞു
swabhaavikalaaya,സ്വഭാവികളായ
printumahaadevu,പ്രിന്റുമഹാദേവ്
ravonichineyum,റാവോണിച്ചിനെയും
dhakyasahajamaayi,ധക്യസഹജമായി
basukalethunna,ബസുകളെത്തുന്ന
vibhedanamellaam,വിഭേദനമെല്ലാം
sooryakaanthiyaanu,സൂര്യകാന്തിയാണ്
divyathvam,ദിവ്യത്ത്വം
maanushikaparigananavachu,മാനുഷികപരിഗണനവച്ചു
mrgeeyavaasanakale,മൃഗീയവാസനകളെ
bheekaranmaaraakkunnu,ഭീകരന്മാരാക്കുന്നു
thanginilkkuvaan,തങ്ങിനിൽക്കുവാൻ
vimoolam,വിമൂലം
yeshuvintethenna,യേശുവിന്റേതെന്ന
valavumonnum,വളവുമൊന്നും
phonukalilokke,ഫോണുകളിലൊക്കെ
shantaladevi,ശന്തലാദേവി
checkpoyinu,ചെക്ക്പോയിന്
vaadaamalaraayi,വാടാമലരായി
daveyaanu,ദവേയാണ്
sthreeyumenna,സ്ത്രീയുമെന്ന
moolyabodhangalaanu,മൂല്യബോധങ്ങളാണ്
kattappaykku,കട്ടപ്പയ്ക്കു
vishaadamounathilaanda,വിഷാദമൌനത്തിലാണ്ട
