mwnlwnga,मोनलोङा
maothiphwrkwo,मावथिफोरखौ
gaste,गेस्ट
atleticeao,एटलेटिसआव
dalang,दालां
digniprai,दिगनिफ्राय
saoraijadwngmwnblabw,सावरायजादोंमोनब्लाबो
babarah,बाबारआ
beramiah,बेरामिआ
daobaitilini,दावबायथिलिनि
jiurahayari,जिउराहायारि
parilaipwrni,फारिलाइफोरनि
pwrwngiriphwra,फोरोंगिरिफोरा
jujinangwn,जुजिनांगोन
bosmani,बसमानि
gaokungtaiari,गावखुंथाइयारी
swhwinaya,सोहैनाया
gelekangnanwi,गेलेखांनानै
bwkwnw,बोखोनो
poraisapwrbadi,फरायसाफोरबादि
dehagwnni,देहागोननि
mwnpanai,मोनफानाय
gabkhangnaiswi,गाबखांनायसै
molugni,मलुगनि
fongsebw,फंसेबो
lubwywbla,लुबोयोब्ला
along,आलं
lubwinai,लुबैनाय
cateringkwo,केटेरिनखौ
gamifwra,गामिफोरा
haldwi,हालदै
hwbtahwyw,होबथाहोयो
dihuntaikwo,दिहुनथायखौ
bengnanwi,बेंनानै
nargasinw,नारगासिनो
tuburmakwo,थुबुरमाखौ
hanaimani,हानायमानि
wngkarnaiao,ओंखारनायाव
yalase,यालासे
gwilaywi,गैलायै
sirajuli,सिराजुलि
swngwn,सोंगोन
kalamnanwisw,खालामनानैसो
jlayw,ज्लायो
expi,एक्सपि
nagalendniprai,नागालेन्दनिफ्राय
prodaksonah,प्रदाक्सनआ
rajmahalniprai,राजमहलनिफ्राय
manjuli,मानजुलि
nujaya,नुजाया
lengayao,लेंगायाव
lingakar,लिंगाकार
hangrajni,हंराजनि
swmjidwngmwnblabw,सोमजिदोंमोनब्लाबो
undupla,उन्दुफ्ला
hagroma,हाग्रमा
bengkonayao,बेंखनायाव
fwron,फोरन
baibathai,बायबाथाय
kakwr,खाखोर
batrapwrkwo,बाथ्राफोरखौ
swmjihwnaijwng,सोमजिहोनायजों
losibari,लसिबारि
harisajwng,हारिसाजों
mahmara,माहमारा
maotwng,मावथों
jagaigab,जागायगाब
daobaywbla,दावबायोब्ला
poraipariao,फरायफारियाव
bongso,बंस
tafwinainifrai,थाफैनायनिफ्राइ
purbi,पुरबि
saoragwn,सावरागोन
gwjwoaomwn,गोजौआवमोन
begfwrni,बेगफोरनि
decemberaonw,डिसेम्बरावनो
joborjosti,जबरजस्थि
sanokorangao,सानअखरांयाव
isor,इसर
hadotniphrai,हादतनिफ्राय
bigrainaya,बिग्रायनाया
ultaywisw,उल्थायैसो
patsalayao,पातसालायाव
naipinnw,नायफिननो
sikonanwi,सिखनानै
sagolwbsarw,सागलोबसारो
jantaini,जान्थाइनि
ranlainanwi,रानलायनानै
nahoroktiani,नाहरकथियानि
bwhwinaini,बोहैनायनि
sipaiglungnayao,सिफायग्लुंनायाव
tasinnai,थासिन्नाय
gwtumpwr,गोथुमफोर
farstrack,फार्सट्रेक
simapwrkwo,सिमाफोरखौ
amentment,आमेन्टमेन्ट
ultaparseniprai,उल्थाफारसेनिफ्राय
porichodni,परिचदनि
wnswlaonangwinw,ओनसोलावनाङैनो
mwnwibadi,मोनैबादि
nongofho,नंगफह
chwora,चौरा
independentpilm,इन्दिपेन्देन्तफिल्म
mominur,ममिनुर
saosri,सावस्रि
atikao,आथिखाव
hwkadwng,होखादों
singholkwo,सिंहलखौ
counsilkwo,काउनसिलखौ
kaolaiyw,खावलायो
horibabu,हरिबाबु
maobitingni,मावबिथिंनि
rupnagor,रुपनागर
britishni,ब्रिटिचनि
hwbtanai,होबथानाय
jwbnanwi,जोबनानै
gomariguri,गमारिगुरि
kangnaimwn,खांनायमोन
daohanjwng,दावहानजों
harisafwra,हारिसाफोरा
grenet,ग्रेनेट
sunibarao,सुनिबाराव
bunggwnsw,बुंगोनसो
bwtwrat,बोथोराथ
swmaosargiriya,सोमावसारगिरिया
lwngnaya,लोंनाया
kaolanayao,खावलानायाव
lamakwonw,लामाखौनो
kaolalw,खावलालो
inspect,इन्सपेक्ट
enpiljwng,एनफिलजों
pragjoy,प्रागज्य
sahebgonjao,साहेबगन्जआव
lahwal,लाहवाल
orhwdwng,अरहोदों
tisontaya,थिसनथाया
mabadiywi,माबादियै
railniprai,रेलनिफ्राय
townni,टाउननि
habsongasinw,हाबसनगासिनो
kamrupao,कामरुपआव
tapahwnw,थाफाहोनो
rujujataoywi,रुजुजाथावै
dehliniprai,दिल्लीनिफ्राय
tisonjaywi,थिसनजायै
nongwini,नङैनि
hwyalase,होयालासे
lingardah,लिंगार्दआ
bijaniyao,बिजानीयाव
piplos,पिप्लस
banainaikwo,बानायनायखौ
dwnkwmanainanwi,दोनखोमानायनानै
gwrwbtajwng,गोरोबथाजों
bungkabai,बुंखाबाय
mitihwhordwngmwndi,मिथिहोहरदोंमोनदि
bilwma,बिलोमा
afadniprainw,आफादनिफ्रायनो
dorbarao,दरबाराव
subungporjwng,सुबुंफरजों
sanmilni,सन्मिलनि
bitwnpwrkwo,बिथोनफोरखौ
pointao,पइन्टआव
osilajwng,असिलाजों
naifwrw,नायफोरो
chamdrup,चामद्रुप
oskar,अस्कार
jantaiyari,जानथायारि
hwdwrsani,होदोरसानि
decemberao,दिसेम्बराव
fwrwngwn,फोरोंगोन
kwmalwi,खोमालै
mujamil,मुजामिल
angwdan,एनगोदान
bahainainiprai,बाहायनायनिफ्राय
songdangnaini,संदान्नायनि
raijlainanwi,रायज्लायनानै
hinjaosaya,हिन्जावसाया
bunaifwrao,बुनायफोराव
narendra,नारेन्द्र
songali,संगालि
raojwng,रावजों
fluoride,फ्लराइड
benlapwrjwng,बेनलाफोरजों
swderjayi,सोदेरजायि
rofik,रफिक
singphou,सिंफौ
swlainaikwo,सोलायनायखौ
subungpwrnao,सुबुंफोरनाव
gosongwn,गसंगोन
naibijirdwngmwnblabw,नायबिजिरदोंमोनब्लाबो
prikesh,प्रिकेस
habaparifwrkwo,हाबाफारिफोरखौ
jwbsanglangnaini,जोबसांलांनायनि
buswmdwng,बुसोमदों
truckao,ट्राकआव
dwnbla,दोनब्ला
nikkwo,निकखौ
gamusa,गामुसा
rongina,रंगिना
laifang,लाइफां
niyani,नियानि
katiram,कातिराम
tarkhasriniao,थार्खास्रिनियाव
aijwkwobw,आयजोखौबो
arabniprai,आरबनिफ्राय
ywgi,योगि
golapwrkwo,गलाफोरखौ
maotipra,मावथिफ्रा
sherfa,शेरफा
simakwo,सिमाखौ
diplu,दिफ्लु
iswra,ईसोरा
campni,केम्पनि
mwntarla,मोनथारला
st,एसटी
japungtaiao,जाफुंथायाव
jerwiting,जेरैथिं
swpanw,सोफानो
rujudwngmwn,रुजुदोंमोन
kabugwnang,खाबुगोनां
mwjangni,मोजांनि
hwsumpadw,होसुमफादो
ajaonaijwng,आजावनायजों
obamaya,अबामाया
pwtaiywbla,फोथायोब्ला
chapai,चापाइ
bidante,बिदान्थे
committeeni,कमिटीनि
khandiyabw,खान्दियाबो
dontipung,दन्थिफुं
garhoal,गारहवाल
mahni,माहनि
kheb,खेब
tadersani,थादेरसानि
jahajni,जाहाजनि
phwthai,फोथाय
hatao,हाथाव
besadfwra,बेसादफोरा
musripra,मुस्रिफ्रा
baidiao,बायदिआव
lamagnakwo,लामागनाखौ
nius,निउस
lapungnai,लाफुंनाय
mesguriao,मेसगुरियाव
yukit,युक्टि
panwmwn,फानोमोन
katiyaonw,खाथियावनो
sadhani,साधानि
mongeshkarkwo,मंगेशकारखौ
dwol,दौल
saorailanai,सावरायलानाय
contractorniprai,कनट्रेकटरनिफ्राय
onsai,अनसाइ
minidwng,मिनिदों
pitaisw,फिथायसो
juyel,जुयेल
gelega,गेलेगा
mondolabw,मण्डलाबो
supunglangasinw,सुफुंलांगासिनो
angwni,आंगोनि
bosimtarini,बसिमथारिनि
lamanilo,लामानिल
falangiyiri,फालांगियिरि
gongsenijwng,गंसेनिजों
bibantijwng,बिबानथिजों
dukanpwrkwo,दुखानफोरखौ
maojagwn,मावजागोन
bwli,बोलि
apradhiya,अपराडीआ
fwtainaya,फोथायनाया
najabaywbla,नाजाबायोब्ला
gidingasinw,गिदिंगासिनो
besenswo,बेसेनसौ
twihwidwng,थैहैदों
hajendwngmwn,हाजेनदोंमोन
lupungnai,लुफुंनाय
dukish,दुकिस
naigir,नायगिर
bitangmwnw,बिथांमोनो
saorajlainaipwrni,सावराज्लायनायफोरनि
kaolainaidwngmwn,खावलायनायदोंमोन
swrkarnaobw,सोरखारनावबो
wngkamni,ओंखामनि
rosidul,रसिदुल
mujihwnw,मुजिहोनो
barpeta,बरपेता
tamtim,थामथिम
gwmadwngmwn,गोमादोंमोन
bibliograpiao,बिब्लिअग्राफियाव
trustaa,ट्राष्टआ
kwklwigasinw,खोख्लैगासिनो
jwngniao,जोंनिआव
parinongpwrkwo,फारिनंफोरखौ
gwsarnayao,गोसारनायाव
naibijirsonggiri,नाइबिजिरसंगिरि
gwgwmwi,गोगोमै
mrityunjay,मृत्युन्जय
bakrikwo,बाख्रिखौ
lagwse,लागोसे
gelegiripwrkwosw,गेलेगिरिफोरखौसो
swmwnangtao,सोमोनांथाव
maobitangkipwr,मावबिथांखिफोर
