swaasthmay,સ્વાસ્થમય
vayovruddhno,વયોવૃદ્ધનો
binkashmirio,બિનકાશ્મીરીઓ
sangu,સંગુ
jadhpurna,જાધપુરના
daajtaa,દાજતા
slakesma,સ્લેક્સમાં
lokvaykaone,લોકવાયકાઓને
sachai,સચાઇ
sooryajaane,સૂર્યજાને
deshbaandhavone,દેશબાંધવોને
nellorthi,નેલ્લોરથી
kankanpur,કાંકણપુર
saashakpaksh,સાશકપક્ષ
hareeyun,હરિયું
dhvajaaropan,ધ્વજારોપણ
aushadhivaad,ઔષધિવાદ
carbonetno,કાર્બોનેટનો
kayadaanun,કાયદાનું
gaanthiya,ગાંઠિયા
janarne,જનારને
framptone,ફ્રેમ્પટોન
saujanye,સૌજન્યે
ecil,ઇસીઆઈએલ
aachvu,આચવું
gauharjaan,ગૌહરજાન
zuon,જુઓન
kshanbharit,ક્ષણભરિત
sumernaa,સુમેરના
kootarani,કૂતરાની
tarvaiah,તરવૈયા
canves,કેનવ્સ
shreemahalakshmidevi,શ્રીમહાલક્ષ્મીદેવી
pufferume,પફર્યુમ
purvshaalaanaane,પૂર્વશાળાનાને
mareenani,મરીનાની
transformeroma,ટ્રાન્સફોર્મરોમાં
vartanookno,વર્તણૂકનો
vagyun,વાગ્યું
gurushree,ગુરુશ્રી
polietica,પોલિએટિકા
arveendni,અરવિંદની
buddhiprakash,બુદ્ધિપ્રકાશ
devaayu,દેવાયું
saiyaminu,સૈયામીનું
stoldharakoae,સ્ટોલધારકોએ
eastes,ઇસ્ટેસ
kamiyab,કમિયાબ
bijaaonu,બીજાઓનું
parkisansvala,પાર્કિસન્સવાળા
fancisco,ફાંસિસ્કો
yogichokna,યોગીચોકના
polymorphisms,પોલિમોર્ફિઝમ્સ
aartikumari,આરતીકુમારી
krushibhavanma,કૃષિભવનમાં
petiemwala,પેટીએમવાલા
samvidhaanthi,સંવિધાનથી
kokocho,કોકોચો
aavakary,આવકાર્ય
bhavishyavid,ભવિષ્યવિદ
makanvali,મકાનવાળી
conclusion,કન્કલુઝન
ichcheli,ઇચ્છેલી
sampoornreete,સંપૂર્ણરીતે
homecraft,હોમક્રાફ્ટ
stroack,સ્ટ્રોક
upsargmathi,ઉપસર્ગમાંથી
suparhirovalo,સુપરહીરોવાળો
bmithi,બીએમઆઈથી
sherbagma,શેરબાગમાં
iglesius,ઈગ્લેસિયસ
sindhania,સિંધાનિયાની
pritamsinh,પ્રીતમસિંહ
shantiparvna,શાંતિપર્વના
aantaradma,આંતરડમાં
romesco,રોમેસ્કો
hollage,હોલેજ
karigarvarg,કારીગરવર્ગ
pronominal,પ્રોનોમિનલ
wallpaperno,વૉલપેપરનો
yuwanimam,યુવાનીમાં
manoranjar,મનોરંજર
sirpat,સિરપત
aedaveenne,એડવીનને
spondylolithesis,સ્પોન્ડિલોલિથેસીસ
savedansheel,સવેદનશીલ
bharavnarne,ભરાવનારને
cultiversnee,કલ્ટીવર્સની
coliform,કોલીફોર્મ
fencingmathi,ફેન્સીંગમાંથી
sheershan,શિર્ષણ
gubbare,ગુબ્બારે
eleans,એલીન્સ
yogashakti,યોગશક્તિ
retreat,રિટ્રીટ
hajarne,હાજરને
painteegsmaa,પેઇન્ટિગ્સમાં
rudraprayagna,રૂદ્રપ્રયાગનાં
illution,ઈલ્યુશન
shikarnee,શિકારની
airplugs,એયરપ્લગ્સ
homelones,હોમલોન્સ
sakhtaibharyu,સખ્તાઇભર્યું
jamyani,જમ્યાની
marchaanna,મરચાંના
kalaarup,કલારૂપ
guwahatima,ગુવાહાટીમાં
stuck,સ્ટક
aaraevaaymaa,આરએવાયમાં
gabharaati,ગભરાતી
thrune,થ્રૂને
apprenticeship,એપ્રેન્ટિશિપ
macnitosh,મેક્નિટોશ
hissani,હિસ્સાની
punjataa,પૂંજતા
aqr,એક્યૂઆર
sarjavvana,સર્જાવવાના
shvetansu,શ્વેતાંસુ
johanpagi,જોહનપગી
pasaaranne,પસારણને
propulpurbane,પ્રોપલપરબેન
collotities,કોલોટીટીસ
kambh,કંભ
ganavaamaa,ગણવામાં
reporsema,રિપોર્સમાં
bhagyarekhanu,ભાગ્યરેખાનું
butghar,બુટઘર
viveeranni,વિવિરણની
karmchaareeo,કર્મચારીઓ
niyamitsevan,નિયમિતસેવન
proprietory,પ્રોપ્રાઇટરી
rinchhanaa,રિંછના
vyayamveeroni,વ્યાયામવીરોની
konmaa,કોણમાં
pujyanaa,પૂજ્યના
dharmacharyothi,ધર્માચાર્યોથી
jalmarg,જલમાર્ગ
svadoshnee,સ્વદોષની
stonework,સ્ટોનવર્ક
pateeonu,પતિઓનું
parvatiji,પાર્વતીજી
marjeena,મર્જીના
rajvallabhna,રાજવલ્લભના
broncos,બ્રોન્કોસ
cementum,સિમેન્ટમ
zilaayun,ઝિલાયું
kiritkumar,કીરીટકુમાર
nandekar,નાંદેકર
bigalma,બીગલમાં
ujaatee,ઉજાતી
abrame,અબરામે
chanselara,ચાન્સેલર
dubyu,ડુબ્યું
bhagyanagar,ભાગ્યનગર
oberg,ઓબર્ગ
rafikne,રફિકને
frolic,ફ્રોલિક
chukavanaano,ચુકવણાનો
skoolvaalo,સ્કૂલવાળો
protections,પ્રોટેકશન્સ
dharmendrarod,ધર્મેન્દ્રરોડ
bhatoli,ભટોલી
rajyaseva,રાજ્યસેવા
rankireddy,રાંકેરેડ્ડી
jagyaorelve,જગ્યાઓરેલવે
sarbhar,સરભર
abdalinu,અબ્દાલીનું
surnee,સુરની
guak,ગુઆક
touchne,ટચને
bakraona,બકરાઓના
whiteley,વ્હાઇટલી
generalist,જનરલિસ્ટ
rajematibai,રાજેમતીબાઈ
anupraasno,અનુપ્રાસનો
salgavnaraone,સળગાવનારાઓને
motorkarone,મોટરકારોને
snaannaa,સ્નાનના
ganeshgaurye,ગણેશગૌર્યે
blasberg,બ્લાસબર્ગ
aayushyaprad,આયુષ્યપ્રદ
ramsneh,રામસ્નેહ
hukkbarma,હુક્કબારમાં
marizsahebno,મરીઝસાહેબનો
quarterbackno,ક્વાર્ટરબેકનો
raanunaa,રાણુના
nakumne,નકુમને
maryadaone,મર્યાદાઓને
karapuzh,કરાપુઝ
aebarnathi,એબરનાથી
rechakmaa,રેચકમાં
gnanvatsaldasji,જ્ઞાનવત્સલદાસજી
taavarnee,તાવરની
hathroomni,હાથરૂમની
superfosphatemaan,સુપરફોસ્ફેટમાં
aniruddhe,અનિરૂદ્ધે
paanchmaanee,પાંચમાંની
ishwarcharandasjini,ઈશ્વરચરણદાસજીની
olangavi,ઓળંગાવી
vataavyo,વટાવ્યો
laluramni,લાલુરામની
dungarpurmathi,ડુંગરપુરમાંથી
izzuddinthi,ઈઝ્ઝુદ્દીનથી
anajvala,અનાજવાળા
solereeyamni,સોલેરિયમની
priyankajino,પ્રિયંકાજીનો
vyomeshchandra,વ્યોમેશચંદ્ર
woodro,વુડરો
playbackni,પ્લેબેકની
chhayapur,છાયાપુર
cvsna,સીવીએસના
vevemaa,વેવેમાં
livestream,લાઇવસ્ટ્રીમમાં
maryadarupe,મર્યાદારૂપે
vasiyatne,વસિયતને
beerheem,બેરહેમ
himanchal,હિમાંચલ
chitrma,ચિત્રમાં
nakashono,નકશોનો
lajjavash,લજ્જાવશ
dayasinh,દયાસિંહ
symics,સિમિક્સ
mounting,માઉંટિંગ
concrotion,કન્ક્રોશન
maharashtravadi,મહારાષ્ટ્રવાદી
abhavmuktine,અભાવમુક્તિને
nonzoro,નોનઝોરો
nandlal,નંદલાલ
latabahenne,લતાબહેનને
mukhtarbhai,મુખ્તારભાઈ
araajkataavaadeeoae,અરાજકતાવાદીઓએ
okote,ઓકોટે
sarune,સરુને
sherdharak,શેરધારક
bhandshe,ભાંડશે
kerevan,કેરેવાન
accountmaa,અકાઉન્ટમાં
codewardne,કોડવર્ડને
dharvaam,ધરવામ
benarne,બેનરને
sundarkumari,સુંદરકુમારીએ
sabalaao,સબળાઓ
ghabharasho,ઘભરાશો
navrati,નવરાતી
tapaskartao,તપાસકર્તાઓ
barkno,બાર્કનો
falasvaroope,ફળસ્વરૂપે
agarbatt,અગરબત્ત
sindurmathi,સિંદૂરમાંથી
vahevaarman,વહેવારમાં
sajavis,સજાવીસ
edwardsnee,એડવર્ડ્સની
kotian,કોટિયાન
bakeena,બાકીનાં
thungrai,ઠુંગરાઈ
buddhichaturyabhari,બુદ્ધિચાતુર્યભરી
rasgoolla,રસગુલ્લા
aankadaae,આંકડાએ
maulavioae,મૌલવીઓએ
bhajnanjali,ભજનાંજલિ
sarnama,સરનામા
sanyojavani,સંયોજવાની
janmjayantiwali,જન્મજયંતીવાળી
neurologic,ન્યુરોલોજીક
drematic,ડ્રેમેટીક
jaaneli,જાણેલી
phonographno,ફોનોગ્રાફનો
gunvathi,ગુણવાથી
monindersinh,મોનિંદરસિંહ
bahadarabadna,બહાદરાબાદના
paheraavno,પહેરાવનો
zerotic,ઝેરોટિક
singhana,સિંઘાના
kasuwaawad,કસુવાવડ
subodhinijima,સુબોધિનિજીમાં
entihypertendation,એન્ટિહાઇપરટેન્ડેશન
ekdemik,એકડેમીક
shaherpolisma,શહેરપોલીસમાં
kootarai,કૂતરાઈ
samvedvu,સંવેદવું
chapla,ચપલા
gooroodevana,ગુરુદેવના
bazara,બજાર
traffica,ટ્રાફિકા
adjucation,એડજ્યુકેશન
gheraataa,ઘેરાતા
holifield,હોલીફીલ્ડ
chugging,ચુગિંગ
annapurne,અન્નપૂર્ણે
upekshapatra,ઉપેક્ષાપાત્ર
warhead,વૉરહેડ
ghagha,ઘાઘા
samuhbhojanno,સમુહભોજનનો
sodhai,સોધાઈ
bhachva,ભચવા
rehearsalni,રિહર્સલની
darukhanawala,દારુખાનાવાલા
pagalaathi,પગલાથી
bhishmbhai,ભીષ્મભાઈ
carnoll,કાર્નોલ
jamashe,જામશે
glication,ગ્લિકેશન
zaghadomathi,ઝઘડોમાંથી
matrabasti,માત્રાબસ્તી
tarigami,તારિગામી
kvotroki,ક્વોત્રોકી
boythi,બોયથી
countdine,કાઉન્ટડાઈન
shivram,શિવરામ
spengler,સ્પેંગલર
bangdiwalu,બંગડીવાળુ
rustin,રસ્ટિન
popere,પોપેરે
hetotosisni,હેટોટોસિસની
abma,એબીએમએ
ahrare,અહરારે
banavaamaam,બનવામાં
kanveenarpade,કન્વીનરપદે
vishaalni,વિશાળની
cgmt,સીજીએમટી
sadhananishthan,સાધનાનિષ્ઠાન
jeebhani,જીભની
hashbrons,હેશબ્રૉન્સ
strilingma,સ્ત્રીલિંગમાં
ratribazar,રાત્રિબજાર
courers,કોરર્સ
battleship,બેટલશિપ
aakarnee,આકારની
portalnee,પોર્ટલની
ottomathi,ઓટ્ટોમાંથી
vayukshetra,વાયુક્ષેત્ર
contraverseene,કોન્ટ્રવર્સીને
dook,ડૉક
bhagvatpreey,ભગવતપ્રિય
asadharantani,અસાધારણતાની
paresani,પરેસાની
nagao,નાગાઓ
ruppur,રૂપપુર
savdhanee,સાવધાની
karagarmaan,કારાગારમાં
nilakshi,નીલાક્ષી
vabharnaa,વભરના
pankhdiothi,પાંખડીઓથી
ramchandranna,રામચંદ્રનનાં
firink,ફાયરિંક
vyakteeoma,વ્યક્તિઓમાં
dephit,ડેફિટ
palamuna,પલામુના
jeetars,જિતર્સ
chopatama,ચોપટામાં
vidhyamandalna,વિદ્યામંડળના
abhiyaasu,અભિયાસુ
kharchaalni,ખર્ચાળની
govindacharya,ગોવિન્દાચાર્ય
vikasaksham,વિકાસક્ષમ
ismailkhan,ઈસ્માઈલખાન
devoleena,દેવોલીના
sasikumar,શિશકુમાર
dukaanaani,દુકાનાની
praveshavvaa,પ્રવેશવવા
bagshana,બાગશાના
blastic,બ્લાસ્ટિક
levoshavnaa,લેવોશવના
formetsnee,ફોર્મેટ્સની
motego,મોટેગો
virodhabhashiy,વિરોધાભાષીય
sangeetno,સંગીતનો
sarvoronu,સરવોરોનું
aatmavishvase,આત્મવિશ્વાસે
sikhdavi,સિખડાવી
jungleyno,જંગલીનો
hotelnaa,હોટેલના
etlam,એટલામ
cyanosrilite,સાયનોસ્રીલાઈટ
